77516;12285~736210;*
83311;12285~736210;*
215646;12285~736210;*
234721;12285~736210;*
338409;12285~736210;*
284582;12285~736210;*
160187;12285~736210;*
209642;12285~736210;*
45781;12285~736210;*
159449;12285~736210;*
280464;12285~736210;*
141297;12285~736210;*
122272;12285~736210;*
205019;12285~736210;*
121772;12285~736210;*
245487;12285~736210;*
176756;12285~736210;*
186824;12285~736210;*
28887;12285~736210;*
292175;12285~736210;*
193524;12285~736210;*
302146;12285~736210;*
76845;12285~736210;*
117037;12285~736210;*
109015;12285~736210;*
216851;12285~736210;*
168294;12285~736210;*
180211;12285~736210;*
367260;12285~736210;*
193366;12285~736210;*
190709;12285~736210;*
266015;12285~736210;*
386940;12285~736210;*
59951;12285~736210;*
311512;12285~736210;*
242406;12285~736210;*
197200;12285~736210;*
544091;12285~736210;*
84154;12285~736210;*
265477;12285~736210;*
507875;12285~736210;*
88506;12285~736210;*
172987;12285~736210;*
94638;12285~736210;*
289980;12285~736210;*
337895;12285~736210;*
144361;12285~736210;*
128354;12285~736210;*
101603;12285~736210;*
271466;12285~736210;*
32275;12285~736210;*
226956;12285~736210;*
51835;12285~736210;*
251585;12285~736210;*
109832;12285~736210;*
237993;12285~736210;*
216666;12285~736210;*
56352;12285~736210;*
147372;12285~736210;*
188146;12285~736210;*
59496;12285~736210;*
293936;12285~736210;*
149640;12285~736210;*
116632;12285~736210;*
105598;12285~736210;*
155537;12285~736210;*
183175;12285~736210;*
169846;12285~736210;*
191681;12285~736210;*
200681;12285~736210;*
101509;12285~736210;*
309974;12285~736210;*
162298;12285~736210;*
211678;12285~736210;*
124744;12285~736210;*
213921;12285~736210;*
32214;12285~736210;*
212759;12285~736210;*
309634;12285~736210;*
125927;12285~736210;*
446839;12285~736210;*
276515;12285~736210;*
51618;12285~736210;*
159937;12285~736210;*
343591;12285~736210;*
346253;12285~736210;*
268234;12285~736210;*
202051;12285~736210;*
54334;12285~736210;*
410867;12285~736210;*
249977;12285~736210;*
286730;12285~736210;*
212563;12285~736210;*
117747;12285~736210;*
226296;12285~736210;*
115585;12285~736210;*
191277;12285~736210;*
202683;12285~736210;*
171095;12285~736210;*
249409;12285~736210;*
124191;12285~736210;*
198282;12285~736210;*
149116;12285~736210;*
188300;12285~736210;*
103432;12285~736210;*
317660;12285~736210;*
304873;12285~736210;*
194901;12285~736210;*
189265;12285~736210;*
124692;12285~736210;*
432376;12285~736210;*
65324;12285~736210;*
335605;12285~736210;*
377869;12285~736210;*
102864;12285~736210;*
95647;12285~736210;*
303090;12285~736210;*
197371;12285~736210;*
247552;12285~736210;*
102632;12285~736210;*
199915;12285~736210;*
118853;12285~736210;*
77143;12285~736210;*
267989;12285~736210;*
301606;12285~736210;*
287828;12285~736210;*
111697;12285~736210;*
114937;12285~736210;*
129305;12285~736210;*
365739;12285~736210;*
69621;12285~736210;*
43323;12285~736210;*
120985;12285~736210;*
254202;12285~736210;*
146195;12285~736210;*
125933;12285~736210;*
56920;12285~736210;*
163127;12285~736210;*
34310;12285~736210;*
81973;12285~736210;*
66614;12285~736210;*
232782;12285~736210;*
316868;12285~736210;*
196584;12285~736210;*
105376;12285~736210;*
185814;12285~736210;*
175374;12285~736210;*
108293;12285~736210;*
181232;12285~736210;*
174662;12285~736210;*
186009;12285~736210;*
198183;12285~736210;*
163003;12285~736210;*
296158;12285~736210;*
252903;12285~736210;*
187715;12285~736210;*
214542;12285~736210;*
494223;12285~736210;*
191535;12285~736210;*
228456;12285~736210;*
38317;12285~736210;*
252752;12285~736210;*
78374;12285~736210;*
88419;12285~736210;*
201080;12285~736210;*
207157;12285~736210;*
235485;12285~736210;*
102628;12285~736210;*
25828;12285~736210;*
54826;12285~736210;*
124953;12285~736210;*
175325;12285~736210;*
96062;12285~736210;*
428030;12285~736210;*
149624;12285~736210;*
253814;12285~736210;*
312956;12285~736210;*
483777;12285~736210;*
183930;12285~736210;*
37274;12285~736210;*
181344;12285~736210;*
114580;12285~736210;*
633742;12285~736210;*
286370;12285~736210;*
29054;12285~736210;*
304030;12285~736210;*
143129;12285~736210;*
135105;12285~736210;*
99928;12285~736210;*
109567;12285~736210;*
155222;12285~736210;*
159567;12285~736210;*
523910;12285~736210;*
120939;12285~736210;*
130760;12285~736210;*
197387;12285~736210;*
99374;12285~736210;*
56795;12285~736210;*
138992;12285~736210;*
32921;12285~736210;*
397317;12285~736210;*
170653;12285~736210;*
259323;12285~736210;*
254817;12285~736210;*
48211;12285~736210;*
140164;12285~736210;*
128757;12285~736210;*
36270;12285~736210;*
210563;12285~736210;*
65368;12285~736210;*
160943;12285~736210;*
208358;12285~736210;*
153790;12285~736210;*
85815;12285~736210;*
125417;12285~736210;*
635913;12285~736210;*
313321;12285~736210;*
182609;12285~736210;*
109434;12285~736210;*
255004;12285~736210;*
197860;12285~736210;*
187656;12285~736210;*
51744;12285~736210;*
176681;12285~736210;*
140359;12285~736210;*
243313;12285~736210;*
24215;12285~736210;*
167687;12285~736210;*
314209;12285~736210;*
176796;12285~736210;*
538583;12285~736210;*
130408;12285~736210;*
159732;12285~736210;*
110978;12285~736210;*
76714;12285~736210;*
268700;12285~736210;*
170525;12285~736210;*
180138;12285~736210;*
115076;12285~736210;*
115458;12285~736210;*
347890;12285~736210;*
196001;12285~736210;*
273905;12285~736210;*
119156;12285~736210;*
179488;12285~736210;*
203580;12285~736210;*
236596;12285~736210;*
183916;12285~736210;*
207578;12285~736210;*
153141;12285~736210;*
112763;12285~736210;*
390781;12285~736210;*
171328;12285~736210;*
27382;12285~736210;*
259014;12285~736210;*
303044;12285~736210;*
117789;12285~736210;*
172579;12285~736210;*
187666;12285~736210;*
204518;12285~736210;*
150042;12285~736210;*
98092;12285~736210;*
245918;12285~736210;*
146013;12285~736210;*
378322;12285~736210;*
257295;12285~736210;*
218956;12285~736210;*
21174;12285~736210;*
185480;12285~736210;*
222205;12285~736210;*
69867;12285~736210;*
191260;12285~736210;*
30653;12285~736210;*
209109;12285~736210;*
70377;12285~736210;*
477983;12285~736210;*
170924;12285~736210;*
190174;12285~736210;*
193787;12285~736210;*
279472;12285~736210;*
34918;12285~736210;*
97688;12285~736210;*
175413;12285~736210;*
173960;12285~736210;*
205759;12285~736210;*
425161;12285~736210;*
220531;12285~736210;*
176609;12285~736210;*
371987;12285~736210;*
193884;12285~736210;*
200352;12285~736210;*
127595;12285~736210;*
220419;12285~736210;*
231931;12285~736210;*
